pid,dim,adcon,tv,rating,age,agecat,dprime
6700131,car,addressable,choice,1,27,18_34,0.967421566
6700131,cruise,addressable,choice,3.25,27,18_34,0
6700131,dog,non-address,choice,4.75,27,18_34,1.249637713
6700131,games,non-address,choice,0.25,27,18_34,0.282216147
6700745,car,non-address,choice,0,43,35.54,0
6700745,cruise,non-address,choice,-3,43,35.54,1.00376302
6700745,dog,addressable,choice,-2.25,43,35.54,0.589455798
6700745,games,addressable,choice,2.75,43,35.54,1.875434965
6701044,car,non-address,random,-6,34,18_34,-0.282216147
6701044,cruise,addressable,random,4,34,18_34,0.871671945
6701044,dog,non-address,random,-5.5,34,18_34,0.589455798
6701044,games,addressable,random,4,34,18_34,0.377965768
6706084,car,non-address,random,1.5,26,18_34,0.589455798
6706084,cruise,addressable,random,5.5,26,18_34,1.178911596
6706084,dog,addressable,random,1,26,18_34,0.282216147
6706084,games,non-address,random,-8,26,18_34,0.871671945
6706195,car,non-address,choice,-1,43,35.54,0.282216147
6706195,cruise,non-address,choice,1,43,35.54,0.589455798
6706195,dog,addressable,choice,1.75,43,35.54,1.556877364
6706195,games,addressable,choice,2.75,43,35.54,0.967421566
6706201,car,addressable,choice,4,30,18_34,-0.589455798
6706201,cruise,addressable,choice,3,30,18_34,0
6706201,dog,non-address,choice,0.5,30,18_34,1.00376302
6706201,games,non-address,choice,2.25,30,18_34,0.282216147
6706207,car,addressable,choice,1.25,35,35.54,0.967421566
6706207,cruise,addressable,choice,6.5,35,35.54,1.556877364
6706207,dog,non-address,choice,-5,35,35.54,0.967421566
6706207,games,non-address,choice,-1.75,35,35.54,0.282216147
6706211,car,non-address,random,-0.5,54,35.54,0.564432294
6706211,cruise,addressable,random,-5,54,35.54,1.593218818
6706211,dog,addressable,random,6.5,54,35.54,1.556877364
6706211,games,non-address,random,-2.25,54,35.54,0.871671945
6706224,car,non-address,choice,-1.75,35,35.54,0.589455798
6706224,cruise,non-address,choice,-0.25,35,35.54,0.307239651
6706224,dog,addressable,choice,0,35,35.54,0.967421566
6706224,games,addressable,choice,2,35,35.54,0.589455798
6706248,car,addressable,random,-0.5,20,18_34,0.564432294
6706248,cruise,non-address,random,2,20,18_34,-0.307239651
6706248,dog,non-address,random,2.75,20,18_34,0.564432294
6706248,games,addressable,random,-0.25,20,18_34,0.377965768
6706273,car,addressable,choice,-0.5,23,18_34,1.00376302
6706273,cruise,addressable,choice,1.75,23,18_34,0
6706273,dog,non-address,choice,2.75,23,18_34,1.249637713
6706273,games,non-address,choice,-1.5,23,18_34,1.593218818
6706329,car,non-address,random,1.5,32,18_34,1.178911596
6706329,cruise,non-address,random,-2.75,32,18_34,0.589455798
6706329,dog,addressable,random,0.25,32,18_34,0
6706329,games,addressable,random,0.75,32,18_34,0.967421566
6706405,car,addressable,choice,0.75,23,18_34,0.307239651
6706405,cruise,addressable,choice,3.5,23,18_34,0.685205419
6706405,dog,non-address,choice,0.75,23,18_34,0.589455798
6706405,games,non-address,choice,-0.75,23,18_34,0.307239651
6706432,car,addressable,choice,1.5,40,35.54,0.377965768
6706432,cruise,non-address,choice,-0.75,40,35.54,1.875434965
6706432,dog,non-address,choice,-2.75,40,35.54,0.307239651
6706432,games,addressable,choice,3,40,35.54,0.967421566
6706459,car,addressable,random,-2,19,18_34,0
6706459,cruise,addressable,random,3,19,18_34,-0.282216147
6706459,dog,non-address,random,2,19,18_34,0.871671945
6706459,games,non-address,random,0.75,19,18_34,1.178911596
6706487,car,addressable,choice,2.75,63,55+,0
6706487,cruise,non-address,choice,0.25,63,55+,-0.685205419
6706487,dog,addressable,choice,1.75,63,55+,-0.589455798
6706487,games,non-address,choice,6.5,63,55+,-0.967421566
6706494,car,non-address,choice,0,36,35.54,1.556877364
6706494,cruise,addressable,choice,3.25,36,35.54,0.564432294
6706494,dog,addressable,choice,4.75,36,35.54,0.967421566
6706494,games,non-address,choice,-8.5,36,35.54,0.589455798
